"459222621,2025-09-09T09:42:44Z,1404/06/18 13:12,ارین,gafarinezad,twit,#عیار\nفقط بخر\nکف عیار 24\nبه زودی عیار 30 و 40 هم رویت خواهد شد"
"459222600,2025-09-09T09:40:27Z,1404/06/18 13:10,کاوه صفرزاده,kaveh1355,quote,باز هم داستان همیشگی واگذاری خودروسازی‌ها و عرضه خودرو در بورس کالا و به دنبال آن مخالفت وزارت صمت و شورای رقابت!!!...؟"
"459222593,2025-09-09T09:40:06Z,1404/06/18 13:10,r.a,atabak58,twit,#کرومیت \nبرای جلوگیری از خام فروشی کلوخه کرومیت دپو شده تا بعد از تبدیل به فروکروم  با ارزش افزوده بیشتری به فروش برسه"
"459222590,2025-09-09T09:39:50Z,1404/06/18 13:09,قرقی بورس,reza3108112751,twit,#شاخص_بورس \n\n⛔اقدام کره‌ جنوبی در سازمان ملل برای بازگشت تحریم‌ها علیه ایران\n\n🟡به نقل از یورونیوز، کره‌ جنوبی به عنوان رئیس دوره‌ای شورای امنیت سازمان ملل روز دوشنبه ۸ سپتامبر (۱۷ شهریور) پیش‌نویس قطعنامه‌ای را در این نهاد نهایی کرد که به‌طور دائمی تحریم‌های ایران را لغو می‌کند.\n\n🟡این اقدام بخشی از روند رسمی بازگرداندن تحریم‌‌های ایران در شورای امنیت محسوب می‌شود. بر طبق این سازوکار، ابتدا قطعنامه‌ای جهت برداشتن تحریم‌ها ارائه شده و در صورتی که چنین قطعنامه‌ای رای نیاورد، بازگشت تحریم‌ها در دستور کار قرار میگیرد"
"459222574,2025-09-09T09:36:57Z,1404/06/18 13:06,سیدحیدر حسینی,hh1362,twit,#آکنتور \nامروز با سازمان بورس تماس گرفتم و پرسیدم که نتیجه‌ی پیگیری های سازمان بورس بابت احقاق حقوق سهامداران خردی که از طریق پلتفرم های مورد تایید سازمان بورس اقدام به خرید سهام کرده اند چه بوده است؟\nدر کمال تعجب گقتند: « سازمان نماد را از بورس حذف کرده و دیگر پاسخگویی به سهامداران خرد در این زمینه متوجه سازمان بورس نیست!»\n کارشناس پاسخ دهنده اضافه کرد: «برای پیگیری حقوق سهامداری شامل سود نقدی و واگذاری به غیر با خود شرکت تماس بگیرید.»\nآیا این صحبت درست است؟\nدوستان راهی برای رسیدن به حقتون پیدا کرده‌اید؟"
"459215607,2025-09-08T22:23:52Z,1404/06/18 01:53,محسن,messiii,retwit,#خودرو کشور  نیازمند رشد اقتصادی و رشد تولید واشتغال است نه  طلا وبه زودی طلاهم باید فدای تولید شودودر خدمت  صنایع  باشد"
"459222558,2025-09-09T09:36:03Z,1404/06/18 13:06,راهبرد,aghakhan,twit,#توسن بعد از ریزش سنگین و شارپ که از دی ۴۰۲ تا مرداد ۴۰۳ تجربه کرده وارد بک روند صعودی ضعیف شده که کف کانال صعودی ۴۲۵ تومن و سقفش ۷۰۰ نومن هست که اگه بتونین تو حدوده ۴۳۰ الی ۴۵۰ خریدتون رو تکمیل کنید. میشه گفت خرید بسار جذاب و اکازیون با ریسک به ریوارد معقولی هست. اگه به احتمال ضعیف بتونه سقف کانال رو بشکنه هدف های ۱۰۰۰ و ۱۲۵۰ فعال میشه که فعلا مومنتوم و ضرب آهنگ حرکت همچین چیزی رو نشون نمیده"
"459222551,2025-09-09T09:34:23Z,1404/06/18 13:04,عبداله,jkhbjibvvgyonbf,twit,#خودرو ۱۸ شهریور ۱۴۰۴، ۱۱:۳۳\nشورای رقابت: عرضه خودرو در بورس غیرقانونی است\nشورای رقابت: عرضه خودرو در بورس غیرقانونی است\nسخنگوی شورای رقابت گفت: عرضه خودرو در بورس کالا خارج از دستورالعمل ۵۴۳ و غیرقانونی است"
"459222543,2025-09-09T09:33:37Z,1404/06/18 13:03,siyamak,siyamak1360,twit,#پیشران روزانه "
"459222529,2025-09-09T09:32:15Z,1404/06/18 13:02,داوینچی,maleki2025,quote,ترامپ به اقتصاد و معیشت حمله کرده. برخی افراد ساده‌لوح فکر می‌کنند با پذیرش درخواست‌های او، او منصرف می‌شود. به جای وقت‌گذاری بر مذاکرات بی‌نتیجه، باید با بی‌عدالتی و توزیع ناعادلانه ثروت مبارزه کرد. ابتدا باید به  حقوقی‌ها و صندوق‌ها توجه کرد. همچنین، باید بررسی کرد که چگونه سهام در کف خریداری و در سقف فروخته می‌شود.#شاخص_بورس"
